id,name,title,slug,page_layout,tag_page_type,tag_media_1,tag_media_2,tag_language,tag_university,tag_canton,tag_special_content_1,tag_special_content_2,tag_references,tag_footnotes,tag_others,user_1_id,user_2_id,user_3_id,user_4_id,user_1_username,user_2_username,user_3_username,user_4_username
9146,EVENT Chris Shields (UC San Diego) : For the Sake of the Soul,Chris Shields (UC San Diego) : For the Sake of the Soul,2023-10-24-unine,event,event,,,,UniNE,NE,,,,,,23,unine,,,,,,
9342,EVENT Warum behandeln wir nicht alle gleich?,Warum behandeln wir nicht alle gleich?,2023-10-22-philosophieren,event,event,,,,,BE,,,,,,25119,blum,,,,,,
9033,EVENT Warwick-Geneva-Leipzig Interdepartmental Workshop,Warwick-Geneva-Leipzig Interdepartmental Workshop,2023-10-19-thumos2,event,event,,,,UniGE,GE,,,,,,25750,thumos,,,,,,
9270,EVENT Jan Plate: Towards an Ontology of States and Roles,Jan Plate: Towards an Ontology of States and Roles,2023-10-17-eidos,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9324,"EVENT Robert Kurz (2005), Weltkapital, Berlin : Tiamat, Hugues Poltier ","Robert Kurz (2005), Weltkapital, Berlin : Tiamat, Hugues Poltier ",2023-10-16-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9307,EVENT Platon à cinq voix,Platon à cinq voix,2023-10-11-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9269,EVENT Alessandro Cecconi: Proper parthood matters,Alessandro Cecconi: Proper parthood matters,2023-10-10-eidos,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9094,"EVENT: Mario Schärli, “Possibility, Actuality, and Determinacy. Baumgarten’s Theory of Ontological Status”","Mario Schärli, “Possibility, Actuality, and Determinacy. Baumgarten’s Theory of Ontological Status”",2023-10-09-exre,event,event,,,,UniFR,FR,,,,,,48,exre,,,,,,
9295,EVENT Medea: La diatribe silencieuse d'une magicienne désincarnée,Medea: La diatribe silencieuse d'une magicienne désincarnée,2023-10-05-orphi2,event,event,,,,UniL,VD,,,,,,1790,orphi,,,,,,
9289,EVENT Jonathan Gérard: La diatribe silencieuse d'une magicienne désincarnée,Jonathan Gérard: La diatribe silencieuse d'une magicienne désincarnée,2023-10-05-orphi,event,event,,,,UniL,VD,,,,,,1790,orphi,,,,,,
9105,EVENT Lugano Philosophy Colloquia:  Franz Berto: Imaging and Imagining,Lugano Philosophy Colloquia:  Franz Berto: Imaging and Imagining,2023-10-04-usi,event,event,,,,USI,TI,,,,,,25738,usi,,,,,,
9142,EVENT Sharon Casu (Fribourg) : La conscience et l’action intentionnelle,Sharon Casu (Fribourg) : La conscience et l’action intentionnelle,2023-10-02-unine,event,event,,,,UniNE,NE,,,,,,23,unine,,,,,,
9287,EVENT La noétique d’Aristote et de ses commentateurs,La noétique d’Aristote et de ses commentateurs,2923-09-29-unil,event,event,,,,UniL,VD,,,,,,19,unil,,,,,,
9292,EVENT Apéro de rentrée ,Apéro de rentrée ,2023-09-27-orphi,event,event,,,,UniL,VD,,,,,,1790,orphi,,,,,,
9315,EVENT Quelle métaphysique pour aujourd'hui? ,Quelle métaphysique pour aujourd'hui?,2023-09-25-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9198,EVENT FS Bern APERO,APERO ZUM SEMESTERBEGINN,2023-09-21-fsbe,event,event,,,,UniBE,BE,,,,,,25753,fs-philosophie,,,,,,
9335,EVENT Wie nehmen wir Abschied?,Wie nehmen wir Abschied?,2023-09-03-philosophieren,event,event,,,,,BE,,,,,,25735,philosophieren-mit,,,,,,
9349,"EVENT Roswitha Scholz, valeur et dissociation – Alexandre Tardis","Roswitha Scholz, valeur et dissociation – Alexandre Tardis",2023-05-29-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
