id,old_tags,new_tags,tagging_status,unexpected_error,changed?
9289,"[""other: page type: event"", ""other: canton: VD"", ""other: university: UniL""]","[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]",success,,
9105,"[""other: page type: event"", ""other: canton: TI"", ""other: university: USI""]","[""other: other: page type: event"", ""other: other: canton: TI"", ""other: other: university: USI""]",success,,
9142,"[""other: page type: event"", ""other: university: UniNE"", ""other: canton: NE""]","[""other: other: page type: event"", ""other: other: university: UniNE"", ""other: other: canton: NE""]",success,,
9287,"[""other: page type: event"", ""other: canton: VD"", ""other: university: UniL""]","[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]",success,,
9292,"[""other: page type: event"", ""other: canton: VD"", ""other: university: UniL""]","[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]",success,,
9315,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9198,"[""other: page type: event"", ""other: canton: BE"", ""other: university: UniBE""]","[""other: other: page type: event"", ""other: other: canton: BE"", ""other: other: university: UniBE""]",success,,
9335,"[""other: page type: event"", ""other: canton: BE""]","[""other: other: page type: event"", ""other: other: canton: BE""]",success,,
9349,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9329,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9330,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9175,"[""other: page type: event"", ""other: canton: GE"", ""other: university: UniGE""]","[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]",success,,
9313,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9309,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9265,"[""other: page type: event"", ""other: canton: GE"", ""other: university: UniGE""]","[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]",success,,
9348,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9340,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9238,"[""other: page type: event"", ""other: canton: GE"", ""other: university: UniGE""]","[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]",success,,
9216,"[""other: page type: event"", ""other: canton: GE"", ""other: university: UniGE""]","[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]",success,,
9261,"[""other: page type: event"", ""other: canton: GE"", ""other: university: UniGE""]","[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]",success,,
9328,"[""other: page type: event"", ""other: canton: VD""]","[""other: other: page type: event"", ""other: other: canton: VD""]",success,,
9239,"[""other: page type: event"", ""other: canton: GE"", ""other: university: UniGE""]","[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]",success,,
