id,old_tags,new_tags,tagging_status,unexpected_error
9526,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9527,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9528,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9529,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9530,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9532,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9536,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9577,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9594,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9645,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
9649,UniFR;event;FR,page type: event;university: UniFR;canton: FR;,success,
8951,French;article with pdf;UniFR,page type: media article;media 1: pdf;language: French;university: UniFR;canton: FR;special content 1: student paper;,success,
7982,high-schools;presentation page;FR;UniFR,page type: presentation page;language: German;university: UniFR;canton: FR;special content 1: high schools;,success,
7960,presentation page;FR;UniFR,page type: presentation page;language: English;university: UniFR;canton: FR;,success,
7970,presentation page;FR;UniFR,page type: presentation page;language: English;university: UniFR;canton: FR;,success,
8421,presentation page;FR;UniFR,page type: presentation page;language: English;university: UniFR;canton: FR;,success,
9116,presentation page;FR;UniFR,page type: presentation page;language: French;university: UniFR;canton: FR;,success,
6336,presentation page;FR;UniFR,page type: presentation page;language: German;university: UniFR;canton: FR;,success,
7971,presentation page;FR;UniFR,page type: presentation page;language: German;university: UniFR;canton: FR;,success,
5379,philExpo22;article about event;FR;UniFR,page type: article about event;language: German;university: UniFR;canton: FR;special content 1: philExpo22;,success,
3194,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
6835,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
6836,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
6837,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
7210,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
7212,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
7213,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
7216,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
8958,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
9117,article about event;FR;UniFR,page type: article about event;language: English;university: UniFR;canton: FR;,success,
7214,article about event;FR;UniFR,page type: article about event;language: French;university: UniFR;canton: FR;,success,
7215,article about event;FR;UniFR,page type: article about event;language: French;university: UniFR;canton: FR;,success,
7219,article about event;FR;UniFR,page type: article about event;language: French;university: UniFR;canton: FR;,success,
7220,article about event;FR;UniFR,page type: article about event;language: French;university: UniFR;canton: FR;,success,
9616,job;FR;UniFR,page type: information page;language: English;university: UniFR;canton: FR;special content 1: job;,success,
9673,job;FR;UniFR,page type: information page;language: English;university: UniFR;canton: FR;special content 1: job;,success,
9675,job;FR;UniFR,page type: information page;language: English;university: UniFR;canton: FR;special content 1: job;,success,
7209,information page;FR;UniFR,page type: information page;language: English;university: UniFR;canton: FR;,success,
8423,information page;FR;UniFR,page type: information page;language: English;university: UniFR;canton: FR;,success,
9088,English;information page;FR;UniFR,page type: information page;language: English;university: UniFR;canton: FR;,success,
7211,information page;FR;UniFR,page type: information page;language: French;university: UniFR;canton: FR;,success,
3856,information page;FR;UniFR,page type: information page;language: multilingual;university: UniFR;canton: FR;,success,
9547,event;French;FR,page type: event;language: French;canton: FR;,success,
9549,event;French;FR,page type: event;language: French;canton: FR;,success,
9551,event;FR,page type: event;canton: FR;,success,
9552,event;FR,page type: event;canton: FR;,success,
9553,event;FR,page type: event;canton: FR;,success,
9554,event;FR,page type: event;canton: FR;,success,
8936,site map;FR,page type: portal page;language: English;canton: FR;special content 1: site map;,success,
7623,philExpo22;article about event;FR,page type: article about event;language: English;canton: FR;special content 1: philExpo22;,success,
6833,philExpo22;article about event;FR,page type: article about event;language: French;canton: FR;special content 1: philExpo22;,success,
7622,our event;philExpo22;article about event,page type: article about event;language: French;canton: FR;special content 1: philExpo22;special content 2: our event;,success,
3122,German;FR;article about event,page type: article about event;language: German;canton: FR;,success,
7941,GE;presentation page,page type: presentation page;language: French;university: Cafe;canton: GE;,success,
8008,French;GE;presentation page,page type: presentation page;language: French;university: Cafe;canton: GE;,success,
8086,GE;presentation page,page type: presentation page;language: French;university: Cafe;canton: GE;,success,
8087,GE;presentation page,page type: presentation page;language: French;university: Cafe;canton: GE;,success,
5748,GE;presentation page,page type: presentation page;language: French;university: Soc;canton: GE;,success,
9005,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9021,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9022,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9023,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9024,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9026,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9027,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9028,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9029,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9030,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9033,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9054,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9058,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9074,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9112,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9139,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9154,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9175,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9216,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9238,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9239,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9240,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9241,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9258,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9259,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9260,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9261,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9262,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9263,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9264,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9265,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9266,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9267,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9268,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9269,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9270,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
