_request,id,date,profile_slug,title,city,link,_url,_recurrent,_to_do_for_us,status,changes_made,error_message,error_trace
DELETE,114,2024-12-12,symmetry,Workshop Laws of Nature and Quantum Gravity,Genève,/symmetry-group-seminar-2024#text_block_65736,https://www.philosophie.ch/symmetry-group-seminar-2024#text_block_65736,,,,date: 2023-11-01 => 2024-12-12 ;;; title: Emily Adlam: Are Entropy Bounds Epistemic? => Workshop Laws of Nature and Quantum Gravity ;;; link: /symmetry-group#text_block_64958 => /symmetry-group-seminar-2024#text_block_65736 ;;; _url:  => https://www.philosophie.ch/symmetry-group-seminar-2024#text_block_65736,,
DELETE,115,2024-12-13,symmetry,Workshop Laws of Nature and Quantum Gravity,Genève,/symmetry-group-seminar-2024#text_block_65736,https://www.philosophie.ch/symmetry-group-seminar-2024#text_block_65736,,,,date: 2023-11-02 => 2024-12-13 ;;; profile_slug: orphi => symmetry ;;; title: Valentin Braekman: L'inaliénabilité du droit de vote pour les femmes. Johann Adam Bergk contre Kant => Workshop Laws of Nature and Quantum Gravity ;;; city: Lausanne => Genève ;;; link: /2023-11-02-orphi#text_block_61112 => /symmetry-group-seminar-2024#text_block_65736 ;;; _url:  => https://www.philosophie.ch/symmetry-group-seminar-2024#text_block_65736,,
GET,528,,,,,,,,,,,,
GET,529,,,,,,,,,,,,
GET,530,,,,,,,,,,,,
GET,531,,,,,,,,,,,,
GET,532,,,,,,,,,,,,
GET,533,,,,,,,,,,,,
GET,534,,,,,,,,,,,,
GET,535,,,,,,,,,,,,
GET,536,,,,,,,,,,,,
GET,537,,,,,,,,,,,,
GET,538,,,,,,,,,,,,
GET,539,,,,,,,,,,,,
GET,540,,,,,,,,,,,,
GET,541,,,,,,,,,,,,
GET,542,,,,,,,,,,,,
GET,543,,,,,,,,,,,,
GET,456,,,,,,,,,,,,
GET,457,,,,,,,,,,,,
GET,549,,,,,,,,,,,,
GET,550,,,,,,,,,,,,
GET,551,,,,,,,,,,,,
GET,552,,,,,,,,,,,,
GET,553,,,,,,,,,,,,
GET,554,,,,,,,,,,,,
GET,555,,,,,,,,,,,,
GET,556,,,,,,,,,,,,
GET,557,,,,,,,,,,,,
GET,558,,,,,,,,,,,,
GET,559,,,,,,,,,,,,
GET,560,,,,,,,,,,,,
GEt,561,,,,,,,,,,,,
GET,562,,,,,,,,,,,,
GET,563,,,,,,,,,,,,
GET,564,,,,,,,,,,,,
GET,565,,,,,,,,,,,,
GET,566,,,,,,,,,,,,
GET,567,,,,,,,,,,,,
GET,568,,,,,,,,,,,,
GET,569,,,,,,,,,,,,
GET,570,,,,,,,,,,,,
GET,571,,,,,,,,,,,,
GET,572,,,,,,,,,,,,
GET,573,,,,,,,,,,,,
GET,574,,,,,,,,,,,,
GET,575,,,,,,,,,,,,
GET,576,,,,,,,,,,,,
GET,577,,,,,,,,,,,,
GET,578,,,,,,,,,,,,
GET,579,,,,,,,,,,,,
GET,580,,,,,,,,,,,,
GET,581,,,,,,,,,,,,
GET,582,,,,,,,,,,,,
GET,583,,,,,,,,,,,,
GET,584,,,,,,,,,,,,
GET,585,,,,,,,,,,,,
GET,586,,,,,,,,,,,,
GEt,587,,,,,,,,,,,,
GET,588,,,,,,,,,,,,
GET,589,,,,,,,,,,,,
GET,560,,,,,,,,,,,,
GET,561,,,,,,,,,,,,
GET,562,,,,,,,,,,,,
GET,563,,,,,,,,,,,,
GET,564,,,,,,,,,,,,
GET,565,,,,,,,,,,,,
GET,566,,,,,,,,,,,,
GET,567,,,,,,,,,,,,
GET,568,,,,,,,,,,,,
GET,569,,,,,,,,,,,,
GET,570,,,,,,,,,,,,
GET,571,,,,,,,,,,,,
GET,572,,,,,,,,,,,,
GET,573,,,,,,,,,,,,
GET,574,,,,,,,,,,,,
GET,575,,,,,,,,,,,,
GET,578,,,,,,,,,,,,
GET,579,,,,,,,,,,,,
GET,580,,,,,,,,,,,,
GET,581,,,,,,,,,,,,
GET,582,,,,,,,,,,,,
GET,583,,,,,,,,,,,,
GET,584,,,,,,,,,,,,
POST,,2024-11-13,fsfr,Université et Société: La place de l'université au regard de la philosophie,Fribourg,/2024-11-13-fsfr,,,,,,,
POST,,2024-02-22,fsfr,projection de <i>Dune</i>,,/fsfr#text_block_65250,,,,,,,
POST,,2024-03-06,fsfr,assemblée générale,,/fsfr#text_block_65250,,,,,,,
POST,,2024-03-28,fsfr,projection de <i>Death by Hanging</i>,,/fsfr#text_block_65250,,,,,,,
POST,,2024-04-18,fsfr,projection de <i>Funny Games</i>,,/fsfr#text_block_65250,,,,,,,
POST,,2024-05-29,fsfr,projection de <i>Yannick</i>,,/fsfr#text_block_65250,,,,,,,
POST,,2024-09-24,fsfr,assemblée générale,,/fsfr#text_block_65250,,,,,,,
POST,,2024-09-26,fsfr,projection de <i>Ex Machina</i>,,/fsfr#text_block_65250,,,,,,,
POST,,2024-10-17,fsfr,projection de <i>Wall-E</i>,,/fsfr#text_block_65250,,,,,,,
POST,,2024-11-14,fsfr,projection de <i>Is the Man Who Is Tall Happy?</i>,,/fsfr#text_block_65250,,,,,,,
POST,,2024-11-21,fsfr,Philo-Quiz,,/fsfr#text_block_65250,,,,,,,
POST,,2024-12-12,fsfr,projection: <i>spécial série</i>,,/fsfr#text_block_65250,,,,,,,
POST,,2024/03/27,phgz,Muriel Leuenberger: Die Auswirkungen sozialer KI auf unsere Identität.,Zürich,/phgz#text_block_71968,,,,,,,
POST,,2024-04-10,phgz,Atay Kozlovski: What exactly is Big Brother Watching? AI and the rise of surveillance capitalism,,/phgz#text_block_71968,,,,,,,
POST,,2024-05-15,phgz,Elizabeth O'Neill: Large Language Models and the Future of Humanity,,/phgz#text_block_71968,,,,,,,
POST,,2024-10-30,phgz,Jana Sedlakova: Ethical challenges of conversational AI in mental healthcare: an interdisciplinary perspective,,/phgz#text_block_71968,,,,,,,
POST,,2024-12-13,phgz,Max Kiener: Personal Autonomy in the Age of AI-enabled Neurotechnology,,/phgz#text_block_71968,,,,,,,
POST,,2024-12-18,phgz,Eva Weber-Guskar: Gefühle der Zukunft. Wie wir mit emotionaler KI unser Leben verändern,,/phgz#text_block_71968,,,,,,,
UPDATE,183,2024-02-01,fledermaus,Zeit verlieren,Biel,/cafe-philo-fledermaus#text_block_65419,https://www.philosophie.ch/2024-02-01-fledermaus#text_block_62660,,,,,,
