_sort,id,name,title,language_code,urlname,slug,link,_request,_article_bib_key,_doi,created_at,page_layout,tag_page_type,tag_media_1,tag_media_2,tag_language,tag_university,tag_canton,tag_special_content_1,tag_special_content_2,tag_references,tag_footnotes,tag_others,ref_bib_keys,_assets,_to_do_on_the_portal,assigned_authors,intro_block_image,audio_block_files,video_block_files,pdf_block_files,picture_block_files,has_picture_with_text,attachment_links,_other_assets,has_html_header_tags,themetags,status,changes_made,error_message,error_trace
,10010,,,,,,,GET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10011,,,,,,,GET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10012,,,,,,,GET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10013,,,,,,,GET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
